StateName,Statewise_Court_Efficiency
Andaman and Nicobar,0.3012183
Andhra Pradesh,0.531344812
Arunachal Pradesh,0.56684237
Assam,0.538472081
Bihar,0.299993961
Chandigarh,0.523335432
Chhattisgarh,0.5210433
DNH at Silvasa,0.443792598
Delhi,0.44723779
Diu and Daman,0.534087246
Goa,0.496313841
Gujarat,0.598282275
Haryana,0.496592281
Himachal Pradesh,0.524985576
Jammu and Kashmir,0.481821848
Jharkhand,0.480900318
Karnataka,0.502542568
Kerala,0.557754154
Ladakh,0.572895075
Lakshadweep,0.418164368
Madhya Pradesh,0.492443522
Maharashtra,0.446136077
Manipur,0.487640914
Meghalaya,0.46515098
Mizoram,0.547621693
Nagaland,0.508235832
Odisha,0.364506042
Puducherry,0.561130777
Punjab,0.52253336
Rajasthan,0.415237033
Sikkim,0.655795257
Tamil Nadu,0.51738717
Telangana,0.515799295
Tripura,0.588588421
Uttar Pradesh,0.362940251
Uttarakhand,0.57037138
West Bengal,0.353178102
