srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,,,Delay_Ratio,Old_Pending_Percentage,Pending_Case_Growth,Case_Disposal_Rate,Pending_to_Disposed_Ratio,Normalized_Case_Disposal_Rate,Normalized_Delay_Ratio,Normalized_Old_Pending_Percentage,Normalized_Pending_Case_Growth,Normalized_Pending_to_Disposed_Ratio,Court_Efficiency_Index_PCA_Absolute
Haryana,Karnal,Civil,10649,8733,4810,2208,38,0,0,26438,20241,2311,1454,2432,9899,1545,12841,2151,116,4,3667,2728,2258,,,0.085404138,0.084950263,0.999810885,0.000151292,5287.6,0.000216131,0.059545699,0.129882957,0.999829143,0.096556006,0.524092934
Haryana,Karnal,Criminal,18889,16880,7438,3447,43,0,0,46697,42333,2245,2119,0,22737,394,20701,2831,4003,1405,964,1563,2512,,,0.053792454,0.074735535,0.969891644,0.030086942,33.21266003,0.042981345,0.037505317,0.114265359,0.969909355,0.000606491,0.557177336
Haryana,Karnal,Total,29538,25613,12248,5655,81,0,0,73135,62574,4556,3573,2432,32636,1939,33542,4982,4119,1409,4631,4291,4770,,,0.065220958,0.078429228,0.980720849,0.019265478,51.86879433,0.027522111,0.045473529,0.119912755,0.980738758,0.000947168,0.548376713
Haryana,Sirsa,Civil,6246,4778,2012,691,27,1,1,13756,10778,1137,598,1243,4017,1347,6865,1527,82,19,2669,1597,6171,,,0.448571636,0.052336992,0.998546195,0.001381115,687.8,0.001973022,0.312754302,0.080019568,0.998564429,0.012559804,0.484927292
Haryana,Sirsa,Criminal,12162,8776,5046,1459,26,1,1,27471,23902,1056,2513,0,10723,468,14793,1486,2474,1884,743,1917,15167,,,0.5520894,0.054127839,0.931384683,0.068578917,14.5734748,0.097969881,0.384929231,0.082757646,0.93140169,0.000266124,0.502191636
Haryana,Sirsa,Total,18408,13554,7058,2150,53,2,2,41227,34680,2193,3111,1243,14740,1815,21658,3013,2556,1903,3412,3514,21338,,,0.517560881,0.05353158,0.953817794,0.046157951,21.65283613,0.06593993,0.360855166,0.081846009,0.953835211,0.000395399,0.496789428
Haryana,Ambala,Civil,8279,6986,3868,2574,50,0,0,21757,15479,1642,1163,3473,8648,1816,8965,2328,90,4,4932,3018,10272,,,0.472102215,0.12059932,0.999770199,0.00018384,4351.4,0.000262629,0.329160355,0.184387849,0.999788456,0.07946021,0.448130425
Haryana,Ambala,Criminal,16459,16092,6606,3045,24,1,0,42227,37766,1324,3137,0,24784,362,15522,1479,1804,983,1251,2256,18943,,,0.448588614,0.072700578,0.976697926,0.023278393,42.91361789,0.033254848,0.31276614,0.111154053,0.976715761,0.000783639,0.489258678
Haryana,Ambala,Total,24738,23078,10474,5619,74,1,0,63984,53245,2966,4300,3473,33432,2178,24487,3807,1894,987,6183,5274,29215,,,0.456591389,0.088989607,0.984558881,0.01542549,64.7611336,0.022036415,0.318345855,0.136058829,0.98457686,0.001182593,0.477695218
Haryana,Bhiwani,Civil,12018,9438,5804,3154,35,0,0,30449,20929,2736,2065,4719,11783,2325,12994,3344,138,5,6015,4241,10000,,,0.328407225,0.104729064,0.999802956,0.000164204,5074.833333,0.000234577,0.228972954,0.160123348,0.999821213,0.092670708,0.476724506
Haryana,Bhiwani,Criminal,13122,11404,7343,3378,14,0,0,35261,30407,1771,3083,0,11923,702,20199,2410,1377,1223,834,2365,11284,,,0.320004537,0.096194203,0.965288412,0.034683228,28.80800654,0.049547469,0.22311441,0.147074149,0.965306039,0.000526058,0.507296966
